Publisher,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
Empire Interactive,,,,,,,,,,,,,,,,,0.41,,0.43999999999999995,0.45999999999999996,1.5999999999999999,2.5999999999999996,3.96,6.369999999999999,8.299999999999999,8.76,9.02,9.879999999999999,11.139999999999999,,,,,,,,,,
Encore,,,,,,,,,,,,,,,,,,,,,,0.03,,0.05,,0.07,,,,,,,,,,,,,
Enix Corporation,,,,,,,,2.56,6.43,,9.55,,12.34,13.49,14.21,17.53,19.32,,,21.810000000000002,27.17,30.080000000000002,31.430000000000003,32.09,33.74,,,,,,,,,,,,,,
Enjoy Gaming ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,
Enterbrain,,,,,,,,,,,,,,,,,,,,,,0.43,0.76,,1.37,,1.53,1.54,1.92,2.05,2.23,,,,,,,,
Epic Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
Epoch,,,,,,,,,,,,0.08,0.15000000000000002,0.2,,0.71,0.8999999999999999,,,,1.0499999999999998,,,,,,,,,,,,,,,,,,
Ertain,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,
Essential Games,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.23,,,,,,,,,,,,
Evolution Games,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,
Evolved Games,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,0.19,,0.32,,,,,,,
Excalibur Publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.28,,,,,,
Experience Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,0.060000000000000005,,
Extreme Entertainment Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
Falcom Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06999999999999999,0.18,0.51,0.8700000000000001,1.07,1.1800000000000002,1.2100000000000002,,,,,
Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,
Flashpoint Games,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.08,,,,,,,,
Flight-Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.12,,,,,,,,,
Focus Home Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.06,0.14,1.0500000000000003,1.7500000000000004,2.3700000000000006,4.300000000000001,4.870000000000001,6.920000000000002,7.280000000000002,7.440000000000002,,
Focus Multimedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.05,,,
Foreign Media Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6300000000000001,,,,,,,,
Fortyfive,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,
Fox Interactive,,,,,,,,,,,,,,,,,1.54,5.54,6.01,7.2299999999999995,7.39,,,,,,,,,,,,,,,,,,
From Software,,,,,,,,,,,,,,,0.08,,0.34,0.6200000000000001,0.8400000000000001,1.1,,1.1900000000000002,1.3000000000000003,,,,1.3500000000000003,,,1.4800000000000004,1.5100000000000005,,,1.6300000000000003,,,,,
FuRyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.16,0.29000000000000004,0.51,0.67,1.19,1.3199999999999998,,
FuRyu Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
Fuji,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,
